Trajectories
120
,,TestPerson3:Sacrum,,,TestPerson3:RIC,,,TestPerson3:LIC,,,TestPerson3:RPSIS,,,TestPerson3:LPSIS,,,TestPerson3:RLATKNEE,,,TestPerson3:RGT,,,TestPerson3:RANTTHIGH,,,TestPerson3:RSUPTHIGH,,,TestPerson3:RINFTHIGH,,,TestPerson3:RANTTHIG,,,TestPerson3:RPOSTTHIGH,,,TestPerson3:RLATMAL,,,TestPerson3:RTIBTUB,,,TestPerson3:RSUPSHANK,,,TestPerson3:RINFSHANK,,,TestPerson3:RANTSHANK,,,TestPerson3:RINFHANK,,,TestPerson3:RCALC,,,TestPerson3:R2NDMET,,,TestPerson3:LLATKNEE,,,TestPerson3:LGT,,,TestPerson3:LANTTHIGH,,,TestPerson3:LSUPTHIGH,,,TestPerson3:LINFTHIGH,,,TestPerson3:LANTHIGH,,,TestPerson3:LPOSTTHIGH,,,TestPerson3:LLATMAL,,,TestPerson3:LTIBTUB,,,TestPerson3:LSUPSHANK,,,TestPerson3:LINFSHANK,,,TestPerson3:LANTSHANK,,,TestPerson3:LPOSTSHANK,,,TestPerson3:LCALC,,,TestPerson3:L2NDMET,,,TestPerson3:T10,,,TestPerson3:C7,,,TestPerson3:XYPHOID,,,TestPerson3:RACROMION,,,TestPerson3:LACROMION,,,TestPerson3:RSCAPULA,,,TestPerson3:R5THMET,,,TestPerson3:L5THMET,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
174,0,-12.742542,-320.515656,928.430420,137.651657,-183.077652,1008.341431,-177.805283,-184.666870,983.278503,27.992636,-304.259430,958.808716,-51.114159,-303.800232,952.400452,173.823151,-203.120300,466.535828,179.456253,-185.778656,875.759766,118.253113,-125.003723,537.431702,202.197067,-153.162567,760.134277,200.921280,-165.856232,634.600525,189.460022,-131.883469,679.740967,207.099426,-207.223785,694.122314,198.986176,-289.691559,60.445766,147.133041,-199.781036,388.820404,217.482071,-285.247803,316.888092,215.663055,-288.791351,222.944901,208.413528,-249.333603,260.345367,212.111862,-311.845886,280.014740,156.565903,-343.322662,30.817902,173.667160,-141.405930,26.641966,-178.052582,-236.822449,470.263763,-194.692871,-172.592117,866.467102,-128.886475,-142.704666,538.243042,-212.540176,-165.907745,751.328857,-193.489059,-162.614578,621.201599,-190.234360,-133.815430,692.589844,-210.583069,-216.443527,672.777344,-200.392395,-291.677094,59.236069,-148.849182,-230.020950,392.037109,-212.694351,-317.399658,335.031464,-216.049210,-303.922974,235.531403,-215.360901,-285.162018,286.968903,-204.291946,-340.797058,288.182098,-145.224548,-335.627045,26.597025,-191.306152,-139.186249,27.225454,-24.388502,-338.041321,1055.718994,-40.296684,-313.323944,1370.123047,-9.071796,-74.426170,1111.490723,163.361938,-236.145584,1333.166870,-233.087692,-237.904877,1316.820557,72.723434,-354.467346,1225.280151,215.119827,-172.455627,19.887640,-232.458099,-187.118881,16.096262
175,0,-12.492328,-320.700256,928.084045,137.681412,-183.039734,1008.396362,-175.230286,-189.026230,983.044800,28.088911,-304.397003,958.922058,-51.101643,-303.961853,952.516479,173.807159,-203.129623,466.605896,179.008072,-186.394409,875.979858,118.183754,-125.088737,537.517090,202.156784,-153.175552,760.200439,200.866806,-165.919937,634.715027,189.443619,-131.902328,679.841736,207.142319,-207.184784,694.169434,198.999146,-289.683014,60.441330,147.103470,-199.736115,388.883820,217.504547,-285.182800,316.868896,215.751389,-288.681366,222.888657,208.398392,-249.261612,260.342957,212.187897,-311.783630,279.974976,156.550385,-343.299194,30.821173,173.638763,-141.393982,26.642431,-178.175262,-237.066010,470.243439,-194.717667,-172.898743,866.549500,-128.923096,-143.012009,538.257019,-212.484665,-166.277130,751.262329,-193.505875,-162.971283,621.143433,-190.185226,-134.079544,692.600037,-210.384460,-216.857010,672.699341,-200.385574,-291.693665,59.228138,-148.803375,-230.261490,392.035919,-212.512070,-317.642151,334.818726,-216.055969,-304.053589,235.514236,-215.274475,-285.357544,286.966339,-204.243210,-340.981079,288.157379,-145.119171,-335.613861,26.616890,-191.568497,-139.070984,27.353029,-24.280405,-338.035828,1055.871460,-40.184925,-313.010834,1370.234741,-9.172524,-74.243980,1111.429077,163.431076,-235.328430,1333.405396,-233.157166,-237.583511,1316.957642,73.098572,-354.003510,1225.532837,215.123337,-172.473450,19.832121,-232.418243,-187.111252,16.132984
176,0,-12.422050,-320.888611,928.144714,137.668289,-183.068039,1008.438477,-175.437119,-189.182281,983.179932,28.124947,-304.571747,959.137451,-51.037674,-304.171204,952.615601,173.809387,-203.146194,466.630341,179.461304,-185.788162,876.013062,118.077972,-125.247269,537.577942,202.177460,-153.171249,760.231323,200.874039,-166.042374,634.670044,189.319153,-132.008530,679.834412,207.159119,-206.421997,694.114136,198.964096,-289.617676,60.482121,147.064987,-199.801239,388.924133,217.556885,-285.164825,316.842224,215.769257,-288.564087,222.886154,208.397568,-249.256912,260.347656,212.213760,-311.733978,279.961548,156.527802,-343.291687,30.859228,173.603973,-141.371918,26.653603,-178.004318,-237.560287,470.180267,-194.729370,-172.835510,866.774353,-129.028656,-143.449982,538.360046,-212.420441,-166.655228,751.204346,-193.544022,-163.350159,621.169312,-189.703323,-135.579636,692.177612,-210.406189,-217.229904,672.696167,-200.347870,-291.686554,59.236217,-148.810471,-230.527084,392.116730,-212.640076,-317.922028,334.958069,-216.107040,-304.173431,235.547928,-215.713089,-285.295410,287.069275,-204.201981,-341.141724,288.092102,-145.120346,-335.605042,26.622684,-191.574173,-139.083466,27.375380,-24.210194,-338.016388,1056.119629,-40.165573,-312.704407,1370.439331,-9.262727,-74.077095,1111.372192,163.369324,-233.621689,1333.916382,-232.817123,-236.887100,1316.772217,73.431267,-353.565765,1225.918457,215.105026,-172.448135,19.861261,-232.405380,-187.114502,16.116674
177,0,-12.386648,-321.099365,928.336243,137.723846,-183.075485,1008.470276,-175.538513,-189.386765,983.271301,28.122829,-304.713562,959.316284,-50.986145,-304.415497,952.770935,173.775589,-203.182541,466.664368,179.669449,-185.543488,876.102417,117.954994,-125.398773,537.608704,202.102219,-153.239716,760.251221,200.813690,-166.113724,634.723389,189.256638,-131.672058,680.491333,206.964920,-206.757965,694.591187,198.951843,-289.573212,60.488564,147.007858,-199.831970,388.946320,217.562149,-285.115570,316.870056,215.737671,-288.538605,222.860413,208.248077,-249.396042,260.273590,212.198929,-311.658936,279.846985,156.533142,-343.262665,30.892210,173.568573,-141.377335,26.616779,-178.070877,-237.882324,470.228424,-194.612366,-172.941620,867.222107,-129.355072,-143.693832,538.021301,-212.297989,-166.547729,751.369324,-193.570145,-163.711731,621.135376,-190.195419,-135.444443,692.090881,-210.489517,-217.522614,672.645813,-200.355011,-291.682556,59.267723,-148.791763,-230.734406,392.159302,-212.626648,-318.130554,334.948944,-216.122330,-304.324860,235.595612,-215.717957,-285.458160,287.068451,-204.177032,-341.310211,288.106567,-144.996384,-335.550751,26.680004,-191.301086,-139.133179,27.210037,-24.113180,-338.013763,1056.332397,-40.119930,-312.323578,1370.644043,-9.374255,-73.956398,1111.296997,163.361572,-232.672653,1333.832886,-232.841766,-236.484726,1316.873657,73.818909,-353.220581,1226.162598,215.078049,-172.399689,19.902647,-232.469513,-187.122147,16.092911
178,0,-12.311342,-321.402496,928.502808,137.767456,-183.140152,1008.534302,-175.446228,-189.696411,983.269897,28.077072,-304.901611,959.528076,-50.949219,-304.717987,953.015564,173.738846,-203.271713,466.701782,179.764618,-185.488403,876.176208,117.839279,-125.580650,537.593445,201.941986,-153.385483,760.284302,200.747345,-166.239212,634.765381,189.165314,-131.763840,680.588013,206.927017,-206.871353,694.605957,198.982849,-289.486511,60.469944,146.956543,-199.914413,388.935699,217.570572,-285.143188,316.907867,215.676895,-288.471710,222.926437,208.208511,-249.412643,260.256927,212.247055,-311.639618,279.866364,156.544983,-343.264557,30.929680,173.537033,-141.365952,26.611725,-178.118469,-238.219055,470.259491,-194.507660,-173.853043,867.335815,-129.409622,-144.056015,538.073608,-212.310654,-167.820297,751.483521,-193.524109,-164.704483,620.733459,-190.380219,-135.682602,692.046753,-210.268692,-217.667542,672.573120,-200.319824,-291.647980,59.284962,-148.779434,-230.943466,392.167175,-212.959137,-318.437164,335.223724,-216.154938,-304.488831,235.621155,-215.686478,-285.637329,287.097443,-204.132538,-341.479584,288.090118,-144.987564,-335.515381,26.755322,-191.307297,-139.134628,27.205515,-23.926991,-338.042236,1056.614990,-40.017258,-311.936584,1370.892944,-9.435148,-73.859108,1111.203003,163.406677,-231.739212,1334.236084,-232.919983,-235.877167,1316.911987,74.258476,-352.750275,1226.674683,214.994492,-172.354324,19.967030,-232.488312,-187.093948,16.165762
179,0,-12.246726,-321.770447,928.713379,139.484985,-179.707565,1008.858582,-175.332230,-190.148941,983.317932,28.154123,-305.220612,959.749573,-50.891010,-305.039825,953.250610,173.708649,-203.380066,466.761749,179.792007,-185.647644,876.246704,117.670990,-125.827179,537.589539,201.874847,-153.538010,760.343628,200.695679,-166.408661,634.832764,188.648544,-132.309738,680.631531,206.896881,-207.060547,694.641113,199.035660,-289.480835,60.483131,146.915497,-199.995850,388.938629,217.614975,-285.101776,316.906982,215.772324,-288.461945,222.898621,208.375656,-249.206863,260.313660,212.313202,-311.636444,279.856476,156.547287,-343.267792,30.952232,173.494446,-141.361237,26.584682,-178.199677,-238.412216,470.208832,-194.594925,-174.322311,867.356750,-129.386063,-144.392532,538.070312,-212.288422,-168.200134,751.458862,-193.484482,-165.394821,621.066711,-190.452347,-136.111267,692.220276,-210.080414,-217.352966,672.239929,-200.305817,-291.656952,59.322754,-148.803467,-231.174942,392.182434,-212.987579,-318.580017,335.213043,-216.171997,-304.688538,235.733353,-215.670288,-285.809937,287.127380,-204.117386,-341.661224,288.092407,-144.980515,-335.504181,26.782959,-191.650375,-139.066284,27.371094,-23.745644,-338.080872,1056.980713,-39.967079,-311.482391,1371.232788,-9.475426,-73.802757,1111.172607,163.451447,-230.878540,1334.419189,-233.150925,-235.617004,1317.176758,74.622780,-352.379456,1227.231445,214.962280,-172.344467,19.971888,-232.515350,-187.124496,16.185221
180,0,-12.199810,-322.191620,928.883789,141.147873,-176.729309,1009.224670,-175.117828,-190.689606,983.408142,28.209249,-305.592407,959.949524,-50.875069,-305.385681,953.466003,173.672226,-203.540741,466.868713,179.916031,-185.401413,876.237427,117.537682,-126.079994,537.656921,201.922089,-153.635468,760.474182,200.660187,-166.622269,634.903076,188.613571,-132.381836,680.205627,206.882416,-207.245255,694.671570,199.069138,-289.482910,60.462337,146.855362,-200.042557,388.979065,217.622101,-285.101379,316.865540,215.796555,-288.402466,222.905487,208.362106,-249.210007,260.271698,212.379715,-311.626434,279.829590,156.576355,-343.270721,30.951267,173.459686,-141.372345,26.627291,-178.206131,-238.685501,470.282562,-194.724457,-174.805939,867.470703,-129.444061,-144.688766,538.060913,-212.444763,-168.738998,751.674377,-193.580750,-165.819031,621.185242,-190.470337,-136.545578,692.211487,-210.555435,-218.278564,672.053833,-200.304398,-291.673889,59.340553,-148.762344,-231.303848,392.252899,-213.109634,-318.768250,335.341858,-216.101822,-304.797607,235.754181,-215.588562,-285.913208,287.113953,-204.057190,-341.787781,288.165527,-144.928818,-335.492645,26.806438,-191.322983,-139.150909,27.214220,-23.621540,-338.136139,1057.502686,-39.902287,-310.989624,1371.559082,-9.495568,-73.750023,1111.130615,163.355270,-229.787827,1334.652710,-233.316650,-235.037399,1317.282471,74.858467,-352.002075,1227.748535,214.998856,-172.353333,20.035376,-232.521912,-187.131729,16.182241
181,0,-12.146255,-322.655334,929.006592,140.378799,-179.410187,1009.334656,-174.897156,-191.359756,983.491577,28.353260,-306.074463,960.045166,-50.833317,-305.861206,953.712952,173.685822,-203.713196,467.058197,179.789124,-186.545074,876.778992,117.430695,-126.384857,537.811584,201.871384,-153.982849,760.576050,200.686615,-166.906082,634.935242,188.601929,-132.703964,680.269287,206.903320,-207.590958,694.677063,199.071152,-289.513672,60.457588,146.802429,-200.112991,389.052948,217.687592,-285.114227,316.804443,215.878098,-288.370789,222.815369,208.225693,-249.369019,260.186584,212.438919,-311.617279,279.775543,156.664169,-343.324005,30.926050,173.437546,-141.375244,26.638023,-178.206024,-238.759781,470.236572,-194.366211,-176.713562,866.760803,-129.496643,-145.020370,538.118713,-213.071396,-169.253174,751.878845,-193.611542,-166.255234,621.308167,-190.438965,-137.568680,692.817688,-210.062485,-217.923325,671.728394,-200.306503,-291.711700,59.347107,-148.748322,-231.470322,392.291016,-213.136429,-318.927460,335.472137,-216.054382,-304.933594,235.822891,-215.539032,-285.991577,287.132965,-203.971649,-341.907684,288.189148,-144.866272,-335.484772,26.782757,-191.285233,-139.127090,27.173176,-23.503813,-338.180115,1057.981201,-39.903374,-310.496796,1371.970581,-9.475341,-73.739212,1111.066772,163.439087,-228.813110,1334.811646,-233.420776,-234.320343,1317.406372,75.238281,-351.526398,1228.217285,214.854568,-172.353455,20.117664,-232.478806,-187.135208,16.166065
182,0,-12.151012,-323.135162,929.133667,137.904068,-185.849136,1009.297729,-174.935165,-191.854218,983.687073,28.321974,-306.619812,960.263428,-50.805443,-306.397919,953.991455,173.756622,-203.876556,467.116394,179.760757,-187.071930,876.876709,117.368431,-126.705933,537.967529,201.478928,-154.840958,760.534912,200.666275,-167.287689,634.948059,188.575104,-133.162125,680.507202,207.021912,-207.857681,694.671082,199.090714,-289.518738,60.428051,146.762207,-200.152695,389.083038,217.689117,-285.078156,316.754150,215.884094,-288.300201,222.764999,208.226746,-249.351974,260.164246,212.520782,-311.611969,279.736969,156.721588,-343.344147,30.912497,173.415451,-141.406494,26.650919,-178.179443,-238.944687,470.349487,-195.066711,-176.846069,866.601624,-129.565903,-145.257370,538.359375,-213.222260,-169.744781,751.901428,-193.639084,-166.691437,621.516541,-190.458817,-138.032761,692.966980,-210.113846,-218.568146,671.963745,-200.263641,-291.730438,59.352711,-148.692963,-231.510468,392.286682,-213.223785,-319.014496,335.643036,-215.780746,-304.944855,235.748062,-215.607681,-286.036926,287.167908,-203.886719,-341.942230,288.206604,-144.799820,-335.514008,26.745462,-191.271149,-139.149704,27.171288,-23.475126,-338.271942,1058.347900,-39.955391,-309.978485,1372.471313,-9.497213,-73.759651,1110.993408,163.518158,-227.602615,1335.118042,-233.655121,-233.492035,1317.727783,75.627365,-351.084442,1228.760620,214.950882,-172.420547,20.059402,-232.483490,-187.152222,16.163467
